,Date,User,Tweet
78,2022-06-30 10:54:11+00:00,SamantaMajumder,"@iam_mewati @vinodkapri @mlkhattar @cmohry @police_haryana @DeependerSHooda @anilvijminister @TrafficGGM @TOIGurgaon @HTGurgaon @gurgaonpolice @DC_Gurugram BJP wants this only to polarise Hindu votes. Modi might have apologized to Muslim countries for Nupur Sharma's blunder but he wants hatred to spread to secure his PM post for 2024.
 That's why he never condemns the activities of BJP goons."
79,2022-06-30 10:53:55+00:00,syedimtiyazali9,@Zaffar_Nama Really!!! I got it you mean to say Nupur sharma's Account  isn't it?
80,2022-06-30 10:53:47+00:00,KartikDubeyLive,"जो घटना सिरिया और अफगानिस्तान में हुआ करती थी आज भारत में भी होनी लगीं हैं..
कन्हैया लाल जी को न्याय मिले, 
#उदयपुर_के_हत्यारों_को_फांसी_दो

Video - https://t.co/BCC8A9PEOS

#Udaipur #UdaipurHorror #UdaipurTalibaniHatya 
#उदयपुर #उदयपुर_हत्याकांड 
#DevendraFadnavis #NupurSharma"
81,2022-06-30 10:53:23+00:00,janhit_times,"बजरंग दल कार्यकर्ताओं ने फूंका इस्लामिक जिहाद का पुतला, उदयपुर कांड पर जताया रोष #JanhitTimes 

@BajrangDalOrg @bijnorpolice @Uppolice #Udaipur #NupurSharma #UttarPradesh 

https://t.co/sewvLESIkw"
82,2022-06-30 10:52:54+00:00,tusharzzz83,"@asadowaisi 
Nupur Sharma ke against bharat band hua tha, Kaniya ke murder ke baad Bharat band kyo nahi? ab dharam ka game Kuan khelta hai Modi ya topi wale log"
83,2022-06-30 10:52:41+00:00,S020ssharma,"Ha par #NupurSharma ko koi kuch #galat bolaega,ye #HinduDharm #bardas bilkul nhi krega"
84,2022-06-30 10:52:37+00:00,Mshobhit786,"This is @Mshobhit786 from #shahjahanpur currently living in #lucknow #UttarPradesh  and i aggressively support @NupurSharmaBJP , and challenging the anti-national aspects, raise you hand if you also support @NupurSharmaBJP 

#IndiansRespectAllReligions #Udaipurincident #Udaipur https://t.co/2n3IpAcAgg"
85,2022-06-30 10:52:30+00:00,kumbarnaveen1,"@PadmajaJoshi If this is the situation of people who supported Nupur Sharma, what kind of threat she herself is getting is unimaginable."
86,2022-06-30 10:52:10+00:00,IndianUser0392,"@RashmiDVS Shut up Rashmi. Stop blaming the people who ""dog-whistled"". When will you look at the bloody fact that Nupur Sharma said whatever she said to purposefully insult their religion? She may have her reasons to do so, but she did what she did."
87,2022-06-30 10:52:09+00:00,ScaVivek,"@AskAnshul 6. Vivek Saxena, Bangalore India

jise ""lund tan se juda""  karwana ho aa jaaye

I support Nupur Sharma 

And How can we call what Hadiths say a lie!!"
88,2022-06-30 10:51:29+00:00,tusharzzz83,"@epanchjanya Nupur Sharma ke against bharat band hua tha, Kaniya ke murder ke baad Bharat band kyo nahi? Yehi hai hindu rashtra? Kanpur mein dange kyo hue thae kyunki zabardasti hinduo ki shop band karvayi thi, bharat band karvayo attankiyo ki pechan ho jayegi"
89,2022-06-30 10:51:17+00:00,ThakurA66726062,"Freedom of speech= i support nupur sharma 🙏
Result - sar tan se Juda 🤬
#JusticeForKanhaiyaLal 
#UdaipurTerrorAttack https://t.co/lIYrzGcGb5"
90,2022-06-30 10:50:57+00:00,Pradeep17092774,@smbalan3 @amarprasadreddy Was Nupur Sharma in Kashmir too? Or even in Pakistan and Bangladesh? Your wisdom will be worth seeing when Islamic terrorism knocks at your door.
91,2022-06-30 10:50:38+00:00,tusharzzz83,"@KumaarSaagar Nupur Sharma ke against bharat band hua tha, Kaniya ke murder ke baad Bharat band kyo nahi? Yehi hai hindu rashtra? Kanpur mein dange kyo hue thae kyunki zabardasti hinduo ki shop band karvayi thi, bharat band karvayo attankiyo ki pechan ho jayegi @VHPDigital @BajrangDalOrg"
92,2022-06-30 10:50:27+00:00,imsimplified_01,"@ishtiaq787 @NupurSharmaBJP @AskAnshul @officeofJsrs If all this terrorism is being done in name of islam, and no muslim is coming forward to stop them or support us then what's wrong in saying that this is islamic terrorism"
93,2022-06-30 10:50:18+00:00,S020ssharma,"@ZeeNews #GeertWilders bol rha hai #NupurSharma ka #Samarthan kro,kyu kare #janta #NupurSharma ka #Samarthan,kya #Janta ko btaya ja rha hai ki #NupurSharma ne bola kya tha"
94,2022-06-30 10:50:17+00:00,Joy54528124,@dahrinoor2 @NupurSharmaBJP https://t.co/1VsH0CHAtV
95,2022-06-30 10:50:17+00:00,itsoutrageeyash,@PTI_News Ab komal aur nupur Sharma ki tarah yeh anonymous bhi nahi milega dalli police ko?🤔
96,2022-06-30 10:50:07+00:00,VakilSaab11,@roh0727 @NewsArenaIndia @MumbaiPolice this guy is from Mumbai and he is supporting the brutal k!||ing of kanahaiya lal...and he's also threatining others if any one will support nupur Sharma...
97,2022-06-30 10:49:39+00:00,SirajM99,Nupur Sharma jisne Mushlmano ki bhavana ko ahat kiya hai. Use abhi tak jail kyo nahi huwi. Aur Zuber jisne sachchai batai usko andar daal diya
98,2022-06-30 10:49:12+00:00,righteous_ry80,उदयपुर घटना के बाद सारी समस्या की शुरुआत करने वाली और माफी मांगने वाली माफीवीर #Nupur_Sharma  कहा गई.. https://t.co/0DdeDCMoNe
99,2022-06-30 10:49:09+00:00,sometimes_me_,"@sharmasupriya Zubair is safe… Will anyway come out of jail in a few days… 
While Nupur Sharma will always be under constant threat… even her supporters are being sl@ughtered

Such Hindus are the biggest culprits !!"
